item_category_id,shop_id,date_block_num,item_cnt_month
2,0,0,53.0
3,0,0,28.0
4,0,0,16.0
5,0,0,28.0
6,0,0,65.0
11,0,0,24.0
13,0,0,9.0
14,0,0,8.0
15,0,0,6.0
19,0,0,345.0
21,0,0,201.0
22,0,0,72.0
23,0,0,259.0
25,0,0,22.0
28,0,0,154.0
29,0,0,8.0
30,0,0,761.0
33,0,0,2.0
35,0,0,12.0
37,0,0,302.0
38,0,0,47.0
40,0,0,1838.0
41,0,0,89.0
43,0,0,53.0
45,0,0,13.0
49,0,0,4.0
55,0,0,426.0
56,0,0,1.0
57,0,0,60.0
59,0,0,39.0
60,0,0,2.0
62,0,0,63.0
63,0,0,44.0
64,0,0,21.0
65,0,0,53.0
67,0,0,48.0
69,0,0,5.0
70,0,0,7.0
72,0,0,12.0
73,0,0,10.0
75,0,0,169.0
77,0,0,56.0
81,0,0,24.0
82,0,0,86.0
83,0,0,33.0
0,0,1,1.0
1,0,1,1.0
2,0,1,52.0
3,0,1,24.0
4,0,1,22.0
5,0,1,35.0
6,0,1,79.0
11,0,1,17.0
13,0,1,10.0
14,0,1,7.0
15,0,1,24.0
19,0,1,400.0
21,0,1,190.0
22,0,1,54.0
23,0,1,359.0
25,0,1,17.0
28,0,1,169.0
29,0,1,14.0
30,0,1,739.0
33,0,1,15.0
35,0,1,8.0
37,0,1,315.0
38,0,1,69.0
40,0,1,1930.0
41,0,1,88.0
43,0,1,64.0
45,0,1,9.0
49,0,1,10.0
55,0,1,473.0
56,0,1,3.0
57,0,1,95.0
59,0,1,64.0
60,0,1,9.0
62,0,1,102.0
63,0,1,25.0
64,0,1,48.0
65,0,1,74.0
67,0,1,83.0
69,0,1,23.0
70,0,1,13.0
71,0,1,2.0
72,0,1,13.0
73,0,1,12.0
75,0,1,169.0
77,0,1,64.0
81,0,1,20.0
82,0,1,60.0
83,0,1,53.0
2,1,0,39.0
3,1,0,13.0
4,1,0,15.0
5,1,0,11.0
6,1,0,36.0
11,1,0,8.0
14,1,0,3.0
15,1,0,12.0
19,1,0,151.0
21,1,0,139.0
22,1,0,41.0
23,1,0,146.0
25,1,0,20.0
28,1,0,91.0
29,1,0,3.0
30,1,0,450.0
33,1,0,3.0
35,1,0,7.0
37,1,0,99.0
38,1,0,26.0
40,1,0,983.0
41,1,0,48.0
55,1,0,244.0
56,1,0,1.0
62,1,0,41.0
63,1,0,22.0
64,1,0,17.0
65,1,0,17.0
67,1,0,24.0
69,1,0,11.0
70,1,0,2.0
72,1,0,1.0
73,1,0,9.0
75,1,0,73.0
77,1,0,31.0
81,1,0,14.0
82,1,0,73.0
83,1,0,23.0
2,1,1,24.0
3,1,1,5.0
4,1,1,15.0
5,1,1,14.0
6,1,1,30.0
11,1,1,9.0
13,1,1,5.0
14,1,1,5.0
15,1,1,12.0
19,1,1,162.0
21,1,1,148.0
22,1,1,26.0
23,1,1,164.0
25,1,1,22.0
28,1,1,91.0
29,1,1,3.0
30,1,1,515.0
33,1,1,11.0
35,1,1,2.0
37,1,1,97.0
38,1,1,31.0
40,1,1,1095.0
41,1,1,54.0
49,1,1,5.0
55,1,1,294.0
56,1,1,1.0
58,1,1,1.0
62,1,1,66.0
63,1,1,25.0
64,1,1,34.0
65,1,1,47.0
67,1,1,66.0
69,1,1,14.0
70,1,1,8.0
72,1,1,8.0
73,1,1,8.0
75,1,1,59.0
77,1,1,37.0
81,1,1,14.0
82,1,1,96.0
83,1,1,41.0
2,2,0,25.0
3,2,0,9.0
4,2,0,10.0
5,2,0,10.0
6,2,0,12.0
11,2,0,10.0
13,2,0,3.0
14,2,0,1.0
15,2,0,6.0
19,2,0,114.0
21,2,0,50.0
22,2,0,32.0
23,2,0,35.0
25,2,0,9.0
28,2,0,37.0
29,2,0,3.0
30,2,0,223.0
33,2,0,2.0
35,2,0,1.0
37,2,0,52.0
38,2,0,17.0
40,2,0,175.0
41,2,0,4.0
43,2,0,17.0
45,2,0,2.0
49,2,0,8.0
55,2,0,41.0
57,2,0,12.0
59,2,0,3.0
62,2,0,21.0
63,2,0,18.0
64,2,0,11.0
65,2,0,8.0
67,2,0,28.0
70,2,0,8.0
72,2,0,8.0
73,2,0,7.0
75,2,0,54.0
77,2,0,27.0
79,2,0,1.0
82,2,0,22.0
83,2,0,10.0
2,2,1,21.0
3,2,1,6.0
4,2,1,3.0
5,2,1,4.0
6,2,1,8.0
11,2,1,2.0
13,2,1,1.0
14,2,1,2.0
15,2,1,2.0
19,2,1,70.0
21,2,1,17.0
22,2,1,8.0
23,2,1,37.0
28,2,1,24.0
29,2,1,5.0
30,2,1,115.0
33,2,1,2.0
35,2,1,1.0
37,2,1,21.0
38,2,1,13.0
40,2,1,40.0
41,2,1,4.0
49,2,1,5.0
55,2,1,2.0
62,2,1,10.0
63,2,1,5.0
64,2,1,5.0
65,2,1,7.0
67,2,1,6.0
69,2,1,2.0
70,2,1,2.0
72,2,1,2.0
73,2,1,10.0
75,2,1,22.0
79,2,1,1.0
82,2,1,2.0
83,2,1,1.0
2,2,2,10.0
3,2,2,2.0
4,2,2,3.0
5,2,2,1.0
6,2,2,11.0
11,2,2,1.0
13,2,2,3.0
15,2,2,1.0
19,2,2,154.0
21,2,2,38.0
22,2,2,9.0
23,2,2,47.0
25,2,2,5.0
28,2,2,61.0
29,2,2,13.0
30,2,2,186.0
33,2,2,1.0
35,2,2,3.0
37,2,2,15.0
38,2,2,7.0
40,2,2,68.0
41,2,2,2.0
49,2,2,13.0
55,2,2,4.0
62,2,2,9.0
63,2,2,4.0
64,2,2,2.0
65,2,2,5.0
67,2,2,16.0
70,2,2,1.0
72,2,2,2.0
73,2,2,9.0
75,2,2,30.0
79,2,2,5.0
81,2,2,1.0
82,2,2,10.0
83,2,2,1.0
2,2,3,15.0
3,2,3,2.0
4,2,3,3.0
5,2,3,2.0
6,2,3,6.0
11,2,3,2.0
14,2,3,1.0
